title,soldprice,solddate,bids,link
Champions Path Charizard V Pokemon Full Art Black Star Promo Card SWSH050 NEW,14.49,"Sold  Jan 17, 2021Sold Item",12 bids,https://www.ebay.com/itm/Champions-Path-Charizard-V-Pokemon-Full-Art-Black-Star-Promo-Card-SWSH050-NEW/265009237876?hash=item3db3c80f74%3Ag%3AIN4AAOSwILpf-2%7Ea&LH_Auction=1
SHADOWLESS Charizard | 4/102 | 1999 Base Set Authentic Holo Rare Pokemon Card,2650.0,"Sold  Jan 17, 2021Sold Item",27 bids,https://www.ebay.com/itm/SHADOWLESS-Charizard-4-102-1999-Base-Set-Authentic-Holo-Rare-Pokemon-Card/233857625130?hash=item3673002c2a%3Ag%3ALeUAAOSwGc5f%7EmLN&LH_Auction=1
Charizard 3/110 Legendary Collection Set Ultra Rare Reverse Holo Pokemon Card,177.5,"Sold  Jan 17, 2021Sold Item",5 bids,https://www.ebay.com/itm/Charizard-3-110-Legendary-Collection-Set-Ultra-Rare-Reverse-Holo-Pokemon-Card/402638685907?hash=item5dbf22c6d3%3Ag%3AAeYAAOSw97df4nUK&LH_Auction=1
Pokemon Card Reshiram & Charizard GX 20/214 Unbroken Bonds Full Art Ultra Rare,13.5,"Sold  Jan 17, 2021Sold Item",19 bids,https://www.ebay.com/itm/Pokemon-Card-Reshiram-Charizard-GX-20-214-Unbroken-Bonds-Full-Art-Ultra-Rare/203246555415?hash=item2f52705117%3Ag%3AfKkAAOSwIjdf%7EmE9&LH_Auction=1
Charizard VMAX 020/189 Holo Ultra-Rare Darkness Ablaze Pokemon Card - PACK FRESH,96.0,"Sold  Jan 17, 2021Sold Item",13 bids,https://www.ebay.com/itm/Charizard-VMAX-020-189-Holo-Ultra-Rare-Darkness-Ablaze-Pokemon-Card-PACK-FRESH/154290029944?hash=item23ec670578%3Ag%3ADasAAOSwurxf%7EmEk&LH_Auction=1
New ListingCharizard 19/113 Legendary Treasures Holo Rare Pokemon Card! NM - Alt Holo,30.0,"Sold  Jan 17, 2021Sold Item",1 bid,https://www.ebay.com/itm/Charizard-19-113-Legendary-Treasures-Holo-Rare-Pokemon-Card-NM-Alt-Holo/184625943706?hash=item2afc90549a%3Ag%3AnSgAAOSweUtgBPVi&LH_Auction=1
Pokemon Base Set Charizard 4/102 Holographic Rare Card In good Condition,147.5,"Sold  Jan 17, 2021Sold Item",7 bids,https://www.ebay.com/itm/Pokemon-Base-Set-Charizard-4-102-Holographic-Rare-Card-In-good-Condition/233855050319?hash=item3672d8e24f%3Ag%3An%7EEAAOSwAXhf-7w1&LH_Auction=1
Pokemon XY Evolutions Charizard 11/108 Rare Holo And Reverse Holo Card Lot of 3,244.5,"Sold  Jan 17, 2021Sold Item",30 bids,https://www.ebay.com/itm/Pokemon-XY-Evolutions-Charizard-11-108-Rare-Holo-And-Reverse-Holo-Card-Lot-of-3/393091473833?hash=item5b8613e1a9%3Ag%3AXLoAAOSw4wdf9yXD&LH_Auction=1
Charizard GX Pokemon Card 9/68 Hidden Fates Ultra Rare - Excellent Condition!,10.02,"Sold  Jan 17, 2021Sold Item",13 bids,https://www.ebay.com/itm/Charizard-GX-Pokemon-Card-9-68-Hidden-Fates-Ultra-Rare-Excellent-Condition/114624273502?hash=item1ab0239c5e%3Ag%3Ax28AAOSwiBhf-7pU&LH_Auction=1
Charizard 14/181 Team Up Pokemon Card Ultra RARE,7.0,"Sold  Jan 17, 2021Sold Item",1 bid,https://www.ebay.com/itm/Charizard-14-181-Team-Up-Pokemon-Card-Ultra-RARE/233855036754?hash=item3672d8ad52%3Ag%3AU5EAAOSwOgdf-7gS&LH_Auction=1
Charizard Holo Rare Platinum Arceus 2009 Pokemon Card LP-MP 1/99,15.5,"Sold  Jan 17, 2021Sold Item",8 bids,https://www.ebay.com/itm/Charizard-Holo-Rare-Platinum-Arceus-2009-Pokemon-Card-LP-MP-1-99/383897782549?hash=item5962174915%3Ag%3ADuYAAOSwp5Bf-6%7E3&LH_Auction=1
Pokemon Cards Amazing Rare Lot And Rev Rare Charizard NM/M Vivid Voltage,40.0,"Sold  Jan 17, 2021Sold Item",14 bids,https://www.ebay.com/itm/Pokemon-Cards-Amazing-Rare-Lot-And-Rev-Rare-Charizard-NM-M-Vivid-Voltage/233860046651?hash=item3673251f3b%3Ag%3AgGMAAOSwoTNgAPWe&LH_Auction=1
2003 Charizard 146/144 Skyridge Crystal Holo Pokemon Card,1035.0,"Sold  Jan 17, 2021Sold Item",8 bids,https://www.ebay.com/itm/2003-Charizard-146-144-Skyridge-Crystal-Holo-Pokemon-Card/393091401063?hash=item5b8612c567%3Ag%3AKcsAAOSwoS9f7Oxw&LH_Auction=1
Pokemon LOT of 3 Charizard Venusaur BaseSet 4/102 Unlmted Holographic Foil Card ,370.0,"Sold  Jan 17, 2021Sold Item",16 bids,https://www.ebay.com/itm/Pokemon-LOT-of-3-Charizard-Venusaur-BaseSet-4-102-Unlmted-Holographic-Foil-Card/184619015619?hash=item2afc269dc3%3Ag%3ARd0AAOSw%7EpRf73ZP&LH_Auction=1
Pokemon Card Dark Charizard Team Rocket 21/82 NM-MT,56.0,"Sold  Jan 17, 2021Sold Item",18 bids,https://www.ebay.com/itm/Pokemon-Card-Dark-Charizard-Team-Rocket-21-82-NM-MT/154286931020?hash=item23ec37bc4c%3Ag%3ATR4AAOSwKwZf9NoB&LH_Auction=1
Charizard 4/130 - Base Set 2 - Holo Rare Pokemon Card,137.16,"Sold  Jan 17, 2021Sold Item",18 bids,https://www.ebay.com/itm/Charizard-4-130-Base-Set-2-Holo-Rare-Pokemon-Card/293950114650?hash=item4470cacb5a%3Ag%3AgUYAAOSw-ktf8WPT&LH_Auction=1
Pokemon Charizard Expedition Holo And Reverse Holo 3 Card Lot Rare,255.0,"Sold  Jan 17, 2021Sold Item",38 bids,https://www.ebay.com/itm/Pokemon-Charizard-Expedition-Holo-And-Reverse-Holo-3-Card-Lot-Rare/265009013966?hash=item3db3c4a4ce%3Ag%3AhDAAAOSw%7EpRfkzOr&LH_Auction=1
Topps Charizard #06 Non-Foil/Non-Holo TV Animation Series 1 Pokemon Card Mint,22.5,"Sold  Jan 17, 2021Sold Item",11 bids,https://www.ebay.com/itm/Topps-Charizard-06-Non-Foil-Non-Holo-TV-Animation-Series-1-Pokemon-Card-Mint/284146240541?hash=item42286f8c1d%3Ag%3AG6AAAOSwMFhf5MOK&LH_Auction=1
Mega M Charizard EX 13/108 2016 XY Evolutions Pokemon Card NM,32.0,"Sold  Jan 17, 2021Sold Item",1 bid,https://www.ebay.com/itm/Mega-M-Charizard-EX-13-108-2016-XY-Evolutions-Pokemon-Card-NM/203244575978?hash=item2f52521cea%3Ag%3ALmUAAOSwaOlf1rVk&LH_Auction=1
1999 Pokemon Charizard 23k In Case Shiny Gold Plate Metal Trading Card limited  ,15.5,"Sold  Jan 17, 2021Sold Item",11 bids,https://www.ebay.com/itm/1999-Pokemon-Charizard-23k-In-Case-Shiny-Gold-Plate-Metal-Trading-Card-limited/164637297645?hash=item265525cbed%3Ag%3At9gAAOSwy41f8mQL&LH_Auction=1
"*HUGE* Pokemon JUMBO, OVERSIZED Card Lot of 132 MUST SEE! CHARIZARD!!!",202.5,"Sold  Jan 17, 2021Sold Item",10 bids,https://www.ebay.com/itm/HUGE-Pokemon-JUMBO-OVERSIZED-Card-Lot-of-132-MUST-SEE-CHARIZARD/402641168718?hash=item5dbf48a94e%3Ag%3AQZEAAOSwpapf-5fd&LH_Auction=1
PSA 7 Near Mint Charizard Holo 3/110 Legendary Collection Pokemon Card TCG,440.0,"Sold  Jan 17, 2021Sold Item",31 bids,https://www.ebay.com/itm/PSA-7-Near-Mint-Charizard-Holo-3-110-Legendary-Collection-Pokemon-Card-TCG/254831340734?hash=item3b5521acbe%3Ag%3AsicAAOSwOmBf8gmX&LH_Auction=1
MEGA M CHARIZARD EX 69/106 Ultra Rare Pokemon Holo Foil Flashfire Card,52.21,"Sold  Jan 17, 2021Sold Item",24 bids,https://www.ebay.com/itm/MEGA-M-CHARIZARD-EX-69-106-Ultra-Rare-Pokemon-Holo-Foil-Flashfire-Card/265005631953?hash=item3db39109d1%3Ag%3AK6YAAOSwFJpf96Lt&LH_Auction=1
Pokemon Charizard Base Set Unlimited Rare Holographic Card 4/102 Holo Foil,220.5,"Sold  Jan 17, 2021Sold Item",24 bids,https://www.ebay.com/itm/Pokemon-Charizard-Base-Set-Unlimited-Rare-Holographic-Card-4-102-Holo-Foil/124522324677?hash=item1cfe1be2c5%3Ag%3AMswAAOSwW05f8e4M&LH_Auction=1
POKEMON CHARIZARD V CHAMPIONS PATH FULL ART ETB PROMO CARD 2020 SEALED SWSH050,13.5,"Sold  Jan 17, 2021Sold Item",7 bids,https://www.ebay.com/itm/POKEMON-CHARIZARD-V-CHAMPIONS-PATH-FULL-ART-ETB-PROMO-CARD-2020-SEALED-SWSH050/114634724959?hash=item1ab0c3165f%3Ag%3AhWwAAOSwJKtgA3nC&LH_Auction=1
Charizard 1/99 2009 Rare Holo Pokemon Card Mint,54.0,"Sold  Jan 17, 2021Sold Item",23 bids,https://www.ebay.com/itm/Charizard-1-99-2009-Rare-Holo-Pokemon-Card-Mint/254831305051?hash=item3b5521215b%3Ag%3A%7E3oAAOSwIlJf-4o3&LH_Auction=1
